album,artists,disc_number,duration_ms,episode,explicit,external_ids,external_urls,href,id,is_local,name,popularity,preview_url,track,track_number,type,uri,available_markets
The Story of Us (Deluxe),['Quinn XCII'],2,175173,FALSE,FALSE,{'isrc': 'USSM11800517'},{'spotify': 'https://open.spotify.com/track/5qHINFJdLjWDDjOswcDACb'},https://api.spotify.com/v1/tracks/5qHINFJdLjWDDjOswcDACb,5qHINFJdLjWDDjOswcDACb,FALSE,Before It Burned,35,https://p.scdn.co/mp3-preview/92fd956a1e638c6020ca83f8593ff2b0b9fe22cb?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,4,track,spotify:track:5qHINFJdLjWDDjOswcDACb,
Coloring,['Kevin Garrett'],1,219973,FALSE,FALSE,{'isrc': 'ushm91468398'},{'spotify': 'https://open.spotify.com/track/2FFYeeIB7Vxj5qL8xr7Kd6'},https://api.spotify.com/v1/tracks/2FFYeeIB7Vxj5qL8xr7Kd6,2FFYeeIB7Vxj5qL8xr7Kd6,FALSE,Coloring,0,,TRUE,1,track,spotify:track:2FFYeeIB7Vxj5qL8xr7Kd6,[]
Feel Something,"['Jaymes Young', 'Phoebe Ryan']",1,240586,FALSE,FALSE,{'isrc': 'USAT21501532'},{'spotify': 'https://open.spotify.com/track/0Zge2Kfo3Yd9JOGnAmVPbb'},https://api.spotify.com/v1/tracks/0Zge2Kfo3Yd9JOGnAmVPbb,0Zge2Kfo3Yd9JOGnAmVPbb,FALSE,We Won't,45,https://p.scdn.co/mp3-preview/120c88b7f03677a5a2fc3b87e915297d50b3b3ee?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,8,track,spotify:track:0Zge2Kfo3Yd9JOGnAmVPbb,
Hozier,['Hozier'],1,225226,FALSE,FALSE,{'isrc': 'USSM11405193'},{'spotify': 'https://open.spotify.com/track/3kR1DF3AAFCzOtzMIErJ4H'},https://api.spotify.com/v1/tracks/3kR1DF3AAFCzOtzMIErJ4H,3kR1DF3AAFCzOtzMIErJ4H,FALSE,Foreigner's God,46,https://p.scdn.co/mp3-preview/a9009837d43a53ef5c58a9405d14b4adbdacfcb7?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,12,track,spotify:track:3kR1DF3AAFCzOtzMIErJ4H,
Stolen Dance,['Milky Chance'],1,311333,FALSE,FALSE,{'isrc': 'DEL211300741'},{'spotify': 'https://open.spotify.com/track/5tjrH5xrpkgKgYd8zQgU8X'},https://api.spotify.com/v1/tracks/5tjrH5xrpkgKgYd8zQgU8X,5tjrH5xrpkgKgYd8zQgU8X,FALSE,Stolen Dance,0,,TRUE,1,track,spotify:track:5tjrH5xrpkgKgYd8zQgU8X,[]
Sick Fool,['James Quick'],1,248470,FALSE,FALSE,{'isrc': 'QMPKX1685982'},{'spotify': 'https://open.spotify.com/track/3EgtM2tZ38z9IWfmSdaxPa'},https://api.spotify.com/v1/tracks/3EgtM2tZ38z9IWfmSdaxPa,3EgtM2tZ38z9IWfmSdaxPa,FALSE,Sick Fool,0,,TRUE,1,track,spotify:track:3EgtM2tZ38z9IWfmSdaxPa,[]
Hozier,['Hozier'],1,229720,FALSE,FALSE,{'isrc': 'USSM11401475'},{'spotify': 'https://open.spotify.com/track/4Vc3bzFxXdrABa2DxgyCMT'},https://api.spotify.com/v1/tracks/4Vc3bzFxXdrABa2DxgyCMT,4Vc3bzFxXdrABa2DxgyCMT,FALSE,Work Song,56,https://p.scdn.co/mp3-preview/f80bde9b7714daadb27ca9b0744fa4bfa68c7d5c?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,9,track,spotify:track:4Vc3bzFxXdrABa2DxgyCMT,
VHS,['X Ambassadors'],1,201773,FALSE,FALSE,{'isrc': 'USUM71505929'},{'spotify': 'https://open.spotify.com/track/3qHzSBZ4gVVZZmV3XB089s'},https://api.spotify.com/v1/tracks/3qHzSBZ4gVVZZmV3XB089s,3qHzSBZ4gVVZZmV3XB089s,FALSE,Naked,37,https://p.scdn.co/mp3-preview/4740698042fba1e03f1751044df1ad436bdcdf03?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,19,track,spotify:track:3qHzSBZ4gVVZZmV3XB089s,
Wanted on Voyage,['George Ezra'],1,188960,FALSE,FALSE,{'isrc': 'GBARL1400478'},{'spotify': 'https://open.spotify.com/track/58Qol5xzalwqF912GE9vQv'},https://api.spotify.com/v1/tracks/58Qol5xzalwqF912GE9vQv,58Qol5xzalwqF912GE9vQv,FALSE,Barcelona,0,,TRUE,4,track,spotify:track:58Qol5xzalwqF912GE9vQv,[]
Hozier,['Hozier'],1,219213,FALSE,FALSE,{'isrc': 'USSM11307293'},{'spotify': 'https://open.spotify.com/track/7uY7jZs5srSx3xMmyCI48T'},https://api.spotify.com/v1/tracks/7uY7jZs5srSx3xMmyCI48T,7uY7jZs5srSx3xMmyCI48T,FALSE,Angel of Small Death and the Codeine Scene,47,https://p.scdn.co/mp3-preview/56106a92ad809320bd6cb56c8b8477a34c725cd2?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,2,track,spotify:track:7uY7jZs5srSx3xMmyCI48T,
Pages,['James Hersey'],1,159255,FALSE,FALSE,{'isrc': 'USYAH1600089'},{'spotify': 'https://open.spotify.com/track/3jGy3NdIQmJaaRnSmw0g1A'},https://api.spotify.com/v1/tracks/3jGy3NdIQmJaaRnSmw0g1A,3jGy3NdIQmJaaRnSmw0g1A,FALSE,Coming Over,0,,TRUE,4,track,spotify:track:3jGy3NdIQmJaaRnSmw0g1A,[]
May I Have This Dance (Remix) [feat. Chance the Rapper],"['Francis and the Lights', 'Chance the Rapper']",1,195356,FALSE,FALSE,{'isrc': 'TCADB1749144'},{'spotify': 'https://open.spotify.com/track/0VaIsQoIQY10uxBrOyZ5cQ'},https://api.spotify.com/v1/tracks/0VaIsQoIQY10uxBrOyZ5cQ,0VaIsQoIQY10uxBrOyZ5cQ,FALSE,May I Have This Dance (Remix) [feat. Chance the Rapper],53,https://p.scdn.co/mp3-preview/632ed4f63c197fd940a4da4efc610082fa3bc802?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,1,track,spotify:track:0VaIsQoIQY10uxBrOyZ5cQ,
Suncity,['Khalid'],1,270413,FALSE,FALSE,{'isrc': 'USRC11803516'},{'spotify': 'https://open.spotify.com/track/7stcuQtnHL7C6XdPvpwywv'},https://api.spotify.com/v1/tracks/7stcuQtnHL7C6XdPvpwywv,7stcuQtnHL7C6XdPvpwywv,FALSE,Vertigo,57,https://p.scdn.co/mp3-preview/37cd1130a3388fef9c3dfbbcd57db53f6290518e?cid=616b3b0f6c8a4ae3984ad23275a44dfb,TRUE,2,track,spotify:track:7stcuQtnHL7C6XdPvpwywv,
